scenario,parameters,C_actual,N_actual,initial_cost,final_cost,improvement,improvement_pct,barges_used,containers_on_barges,containers_trucked,barge_utilization_pct,success,parameter,variation_pct,test_value
H_t_20_+50%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 67.5, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,8074.599999999999,7858.5,216.09999999999945,2.676293562529407,8,63,111,0.5900000000000001,True,H_t_20,50,67.5
Handling_time_base,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,Handling_time,0,0.4
Handling_time_+10%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.44000000000000006, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7580.56,7341,239.5600000000004,3.1601886931836223,8,63,111,0.5900000000000001,True,Handling_time,10,0.44000000000000006
Handling_time_+20%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.48, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7581.52,7341,240.52000000000044,3.1724509069421494,8,63,111,0.5900000000000001,True,Handling_time,20,0.48
Handling_time_+30%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.52, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7582.48,7341,241.47999999999956,3.184710015720445,8,63,111,0.5900000000000001,True,Handling_time,30,0.52
Handling_time_+50%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.6000000000000001, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7584.400000000001,7341,243.40000000000055,3.2092189230525885,8,63,111,0.5900000000000001,True,Handling_time,50,0.6000000000000001
travel_times_base,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.0, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7579.599999999999,7341,238.59999999999945,3.1479233732650727,8,63,111,0.5900000000000001,True,travel_times,0,1.0
travel_times_+10%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.1, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7635.599999999999,7349,286.59999999999945,3.753470585153747,8,63,111,0.5900000000000001,True,travel_times,10,1.1
travel_times_+20%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.2, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7675.599999999999,7357,318.59999999999945,4.15081557142112,8,63,111,0.5900000000000001,True,travel_times,20,1.2
travel_times_+30%,{'Qk': 2500, 'H_b': 60, 'H_t_40': 65, 'H_t_20': 45, 'Handling_time': 0.4, 'travel_times': 1.3, 'num_barges': 8, 'N': 16, 'C': 160},160,16,7772.599999999999,7365,407.59999999999945,5.244062475876792,8,63,111,0.5900000000000001,True,travel_times,30,1.3
