scenario,parameters,C_actual,N_actual,initial_cost,final_cost,improvement,improvement_pct,barges_used,containers_on_barges,containers_trucked,barge_utilization_pct,success,parameter,variation_pct,test_value
travel_times_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,travel_times,0,1.0
travel_times_+10%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.1, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37932.49999999999,35160,2772.4999999999927,7.309035787253657,4,37,123,33.718711843711844,True,travel_times,10,1.1
travel_times_+20%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.2, 'num_barges': 5, 'N': 16, 'C': 160},160,16,40242.49999999999,36764,3478.4999999999927,8.643846679505481,4,29,131,20.9100698684032,True,travel_times,20,1.2
travel_times_+30%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.3, 'num_barges': 5, 'N': 16, 'C': 160},160,16,40262.49999999999,36768,3494.4999999999927,8.679292145296476,4,29,131,20.9100698684032,True,travel_times,30,1.3
travel_times_+50%,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.5, 'num_barges': 5, 'N': 16, 'C': 160},160,16,40532.49999999999,36980,3552.4999999999927,8.764571640041925,4,28,132,19.124355582688914,True,travel_times,50,1.5
Qk_base,{'Qk': [104, 99, 81, 52, 28], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,34.02735381902049,True,Qk,0,
Qk_+10%,{'Qk': [114.4, 108.9, 89.10000000000001, 57.2, 30.800000000000004], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,30.933958017291346,True,Qk,10,
Qk_+20%,{'Qk': [124.8, 118.8, 97.2, 62.4, 33.6], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,28.35612818251707,True,Qk,20,
Qk_+30%,{'Qk': [135.20000000000002, 128.70000000000002, 105.3, 67.60000000000001, 36.4], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,26.17488755309268,True,Qk,30,
Qk_+50%,{'Qk': [156.0, 148.5, 121.5, 78.0, 42.0], 'H_b': [3700, 3600, 3400, 2800, 1800], 'H_t_40': 200, 'H_t_20': 140, 'Handling_time': 0.16666666666666666, 'travel_times': 1.0, 'num_barges': 5, 'N': 16, 'C': 160},160,16,37772.49999999999,35016,2756.4999999999927,7.297637169898719,4,38,122,22.684902546013657,True,Qk,50,
